Prd_Nr,Swissmedic_Nr,Swissmedic_Nm,Abgabekategorie
1422633,51681,,D
1482248,13749,,D
1542659,55548,,D
1545400,53532,,D
1557474,68271,,B
1558021,68559,,D
1605224,67141,,A
1605225,67141,,A
1605226,67141,,A
1617600,0,,
1617601,0,,
1623359,54878,,D
1623579,49826,,D
1632595,67680,,A
1640043,69904,,D
19728,26293,1001 Blattgrün Dragées,E
43229,53662,"3TC 150 mg, Filmtabletten",A
118547,53662,"3TC 300 mg, Filmtabletten",A
69712,53663,"3TC, Lösung oral",A
1220170,57051,"A. Vogel Atrosan, Filmtabletten",D
1019358,39541,"A. Vogel Entspannungs-Tropfen, Tropfen zum Einnehmen",D
1221795,55877,"A. Vogel Husten Sirup, Sirup",E
121231,54831,"A. Vogel Prostamed, Prostata-Kapseln",D
1073694,53272,"A. Vogel Stirnhöhlen-Tabletten, Tabletten",D
1220171,56199,"A.Vogel AtroGel, Gel",D
1129642,58336,"A.Vogel Halsschmerz Spray, Spray zur Anwendung in der Mundhöhle",D
1552613,69008,"A.Vogel Halsschmerztabletten, Lutschtabletten",D
1510855,68895,"A.Vogel Po-Ho Öl neo, Flüssigkeit zur Anwendung auf der Haut",D
1379264,56157,"A.Vogel Stirnhöhlen-Spray, Nasenspray",D
1393263,67064,"Abacavir-Lamivudin-Mepha 600 mg/300 mg, Filmtabletten",A
1346789,65069,"Abasaglar KwikPen 100 U/ml, solution injectable",B
1407807,57831,"Abilify 1 mg/ml, Sirup",B
1042362,57348,"Abilify 10 mg, Schmelztabletten",B
1003841,56209,"Abilify 10 mg, Tabletten",B
1042361,57348,"Abilify 15 mg, Schmelztabletten",B
1003843,56209,"Abilify 15 mg, Tabletten",B
1007736,56209,"Abilify 30 mg, Tabletten",B
1027436,56209,"Abilify 5 mg, Tabletten",B
1084294,57813,"Abilify 7,5 mg / ml, Injektionslösung i.m.",B
1632902,69793,"Abilify Asimtufii 720 mg, Depot-Injektionssuspension in einer Fertigspritze",B
1632903,69793,"Abilify Asimtufii 960 mg, Depot-Injektionssuspension in einer Fertigspritze",B
1311053,63177,"Abilify Maintena 300 mg, Depot-Injektionssuspension",B
